lead_id,lead_created_at,donation_id,donation_created_at
13978,2022-08-01 00:04:26.554222,22061,2022-08-01 00:05:49.277155
13981,2022-08-01 00:31:44.295017,22062,2022-08-01 00:36:09.761365
13985,2022-08-01 00:44:12.365847,22063,2022-08-01 00:45:20.299652
13988,2022-08-01 01:18:28.907921,22064,2022-08-01 01:19:14.380732
13990,2022-08-01 02:07:06.011332,22065,2022-08-01 02:08:40.162481
13999,2022-08-01 04:31:53.955451,22066,2022-08-01 04:37:09.089896
14001,2022-08-01 04:57:08.005156,22067,2022-08-01 04:57:33.336261
14003,2022-08-01 05:25:34.290158,22068,2022-08-01 05:26:16.907339
14005,2022-08-01 07:22:30.847188,22069,2022-08-01 07:23:34.318001
14007,2022-08-01 09:19:54.871354,22070,2022-08-01 09:26:23.571054
