id,charity_name,created_at
358,Habitat for Humanity Otsego-Antrim County,2022-06-28 18:05:33.339919
357,Habitat for Humanity of Bowling Green/Warren County,2022-06-27 18:08:57.928710
356,Habitat for Humanity of Greater Portland,2022-06-24 15:10:05.436865
355,Habitat for Humanity of the Greater La Crosse Region,2022-06-23 12:55:16.669078
354,Goodwill Industries of Kentucky,2022-06-22 19:37:56.817496
353,Woman's Cancer Association - Bargain Box Thrift Store,2022-06-21 20:46:19.310885
352,Goodwill San Diego County,2022-06-21 19:20:01.649702
351,Warren County Habitat for Humanity,2022-06-21 18:13:15.065938
350,"HOPE Helps, Inc",2022-06-21 16:56:45.378102
349,West Volusia Habitat for Humanity,2022-06-20 13:44:38.475604
