id,store_name,charity_name,created_at
1625,Winchester Thrift Shop,Blue Ridge Hospice,2023-03-02 19:45:37.419497
1626,Winchester East Thrift Shop,Blue Ridge Hospice,2023-03-02 19:46:09.297748
1627,Stephens City Thrift Shop,Blue Ridge Hospice,2023-03-02 19:53:43.262066
1628,Berryville Thrift Shop,Blue Ridge Hospice,2023-03-02 19:54:22.387445
1629,Purcellville Thrift Shop,Blue Ridge Hospice,2023-03-02 19:54:57.382820
1630,Leesburg Thrift Shop,Blue Ridge Hospice,2023-03-02 19:55:41.093714
1631,Front Royal Thrift Shop,Blue Ridge Hospice,2023-03-02 19:56:12.857861
1632,Strasburg Thrift Shop,Blue Ridge Hospice,2023-03-02 19:56:48.261165
1633,Community Threads-Arlington Heights,Home of the Sparrow,2023-03-06 21:30:05.039416
1634,Cary,Home of the Sparrow,2023-03-06 21:54:43.720653
1635,McHenry,Home of the Sparrow,2023-03-07 18:52:04.763900
1636,Mundelein,Home of the Sparrow,2023-03-07 18:53:23.198932
1637,Palatine,Home of the Sparrow,2023-03-07 18:54:06.018062
1638,Third Lake,Home of the Sparrow,2023-03-07 18:58:13.639048
1639,Woodstock,Home of the Sparrow,2023-03-07 18:59:05.612189
1640,"Guilderland (Do Not Use, Duplicate)","Goodwill Industries of Greater New York and Northern New Jersey, Inc.",2023-03-08 15:59:24.586014
1641,Guilderland,"Goodwill Industries of Greater New York and Northern New Jersey, Inc.",2023-03-08 15:59:35.322777
1642,Vestal,"Goodwill Industries of Greater New York and Northern New Jersey, Inc.",2023-03-08 16:00:26.050953
1643,Nanuet,"Goodwill Industries of Greater New York and Northern New Jersey, Inc.",2023-03-08 16:01:11.849563
1644,Springfield ADC,"Goodwill Industries of Greater New York and Northern New Jersey, Inc.",2023-03-08 16:02:09.037497
1645,East Brunswick,"Goodwill Industries of Greater New York and Northern New Jersey, Inc.",2023-03-08 16:05:27.247801
1646,Rockaway,"Goodwill Industries of Greater New York and Northern New Jersey, Inc.",2023-03-08 16:07:04.938598
1647,Pequannock,"Goodwill Industries of Greater New York and Northern New Jersey, Inc.",2023-03-08 16:07:48.057569
1648,Bound Brook,"Goodwill Industries of Greater New York and Northern New Jersey, Inc.",2023-03-08 16:10:27.796601
1649,Elmwood Park,"Goodwill Industries of Greater New York and Northern New Jersey, Inc.",2023-03-08 17:54:15.796307
1650,Alhambra ,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 17:57:45.485787
1651,Alta Arden,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:03:27.630543
1652,Auburn,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:04:21.045090
1653,Carmichael,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:05:12.749060
1654,Carson,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:06:09.185816
1655,Chico,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:06:42.682297
1656,Citrus Heights,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:07:13.981248
1657,College Square,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:07:44.034461
1658,Davis,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:08:25.019153
1659,Elk Grove ,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:09:07.260143
1660,Fair Oaks / Palm,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:09:43.825368
1661,Fairway Crk,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:10:18.700872
1662,Folsom,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:10:59.497447
1663,Foothill Farms,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:11:34.471330
1664,Fruitridge Manor,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:12:05.249835
1665,Grass Valley,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:12:44.138388
1666,Missouri Flat,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:13:13.793325
1667,North Highlands,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:13:43.966696
1668,North Sunrise,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:14:28.303528
1669,Orangevale,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:15:16.107846
1670,Oroville,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:15:46.724244
1671,Rancho Cordova,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:16:16.937662
1672,Red Bluff,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:17:00.869255
1673,Redding,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:17:32.468640
1674,Silverada,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:18:03.381999
1675,South Lake Tahoe,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:18:33.774297
1676,Smithridge,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:19:05.375437
1677,South Sac./Florin,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:19:37.387583
1678,Susanville,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:20:11.577238
1679,Tower,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:20:39.971271
1680,West Sac Industrial,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:21:13.971609
1681,Woodland,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:21:45.724284
1682,Yuba City,Goodwill Industries Sacramento Valley & Northern Nevada,2023-03-08 18:22:23.732736
1683,Roswell,Goodwill of North Georgia,2023-03-08 20:29:19.558812
1684,Cumming,Goodwill of North Georgia,2023-03-08 20:39:14.049657
1685,Sandy Springs,Goodwill of North Georgia,2023-03-08 20:39:57.502461
1686,Holcomb Bridge,Goodwill of North Georgia,2023-03-08 20:41:00.715954
1687,Lower Roswell,Goodwill of North Georgia,2023-03-08 20:41:55.615368
1688,NorthRidge,Goodwill of North Georgia,2023-03-08 20:42:45.862539
1689,West End,Goodwill of North Georgia,2023-03-08 20:53:29.210564
1690,NE Plaza,Goodwill of North Georgia,2023-03-08 21:06:10.519892
1691,Piedmont,Goodwill of North Georgia,2023-03-08 21:07:09.904714
1692,Metropolitan,Goodwill of North Georgia,2023-03-08 21:07:53.814091
1693,Athens,Goodwill of North Georgia,2023-03-08 21:09:30.404445
1694,Conyers,Goodwill of North Georgia,2023-03-08 21:10:31.637342
1695,Centerville,Goodwill of North Georgia,2023-03-08 21:11:51.346031
1696,Covington,Goodwill of North Georgia,2023-03-08 21:12:37.025236
1697,Winder,Goodwill of North Georgia,2023-03-08 21:13:15.128153
1698,Madison,Goodwill of North Georgia,2023-03-08 21:14:00.979870
1699,East Athens,Goodwill of North Georgia,2023-03-08 21:14:48.291242
1700,Snellville,Goodwill of North Georgia,2023-03-08 21:15:41.298292
1701,Loganville,Goodwill of North Georgia,2023-03-08 21:16:16.787618
1702,Hamilton Mills,Goodwill of North Georgia,2023-03-08 21:17:27.168044
1703,Cornelia,Goodwill of North Georgia,2023-03-08 21:18:23.653847
1704,Hartwell,Goodwill of North Georgia,2023-03-08 21:19:01.572896
1705,Mall of Georgia,Goodwill of North Georgia,2023-03-08 21:19:37.063814
1706,Lilburn,Goodwill of North Georgia,2023-03-08 21:22:02.860856
1707,Lawrenceville,Goodwill of North Georgia,2023-03-08 21:22:54.142650
1708,Northlake,Goodwill of North Georgia,2023-03-08 21:23:33.735719
1709,N Lawrenceville,Goodwill of North Georgia,2023-03-08 21:24:14.513255
1710,Decatur,Goodwill of North Georgia,2023-03-08 21:24:53.596246
1711,Stone Mountain,Goodwill of North Georgia,2023-03-08 21:25:30.088165
1712,Flat Shoals,Goodwill of North Georgia,2023-03-08 21:26:03.297969
1713,Tucker,Goodwill of North Georgia,2023-03-08 21:26:41.227329
1714,South Hairston,Goodwill of North Georgia,2023-03-08 21:27:29.099576
1715,Bellevue,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 15:26:40.884922
1716,Berry Road,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 15:27:30.691964
1717,Cockrill Bend Outlet,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 15:28:15.677084
1718,Clarksville #2,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 15:29:16.593590
1719,Columbia,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 16:26:58.558982
1720,Columbia,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 16:27:10.424199
1721,Crossville,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 16:28:25.035752
1722,Dickson,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 16:29:07.822265
1723,Cookeville,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 16:30:00.080791
1724,Fayetteville,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 16:31:07.568593
1725,Franklin #1,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 16:31:39.297539
1726,Franklin #2,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 16:32:24.966268
1727,Gallatin,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 16:33:10.474745
1728,Hermitage,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 16:34:57.660492
1729,Indian Lake,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 16:36:03.752810
1730,Lawrenceburg,"Goodwill Industries of Middle Tennessee, Inc.",2023-03-10 16:36:56.349410
